"school_id","school_name","enroll","reg_attend","ela","math","street","city","state","zip","address","lon","lat","reg_attend_pctile","ela_pctile","math_pctile","enroll_scaled","optional"
423,"South Medford High School",1612,74,NA,NA,"1551 Cunningham Ave","Medford","OR",97501,"1551 Cunningham Ave, Medford, OR 97501",-122.8922542,42.3053805,0.174683544303797,NA,NA,5.77314272322475,TRUE
5304,"The Valley School of Southern Oregon",100,88,76,64,"1253 N Riverside Ave","Medford","OR",97501,"1253 N Riverside Ave, Medford, OR 97501",-122.8768239,42.3391612,0.79915611814346,0.906818181818182,0.876136363636364,2.22966955706585,TRUE
419,"Washington Elementary School",397,81,34,21,"610 S Peach St","Medford","OR",97501,"610 S Peach St, Medford, OR 97501",-122.883294,42.316964,0.425316455696203,0.105681818181818,0.0852272727272727,2.92570892898992,TRUE
420,"Wilson Elementary School",548,75,45,38,"1400 Johnson St","Medford","OR",97504,"1400 Johnson St, Medford, OR 97504",-122.8666233,42.3453829,0.20337552742616,0.304545454545455,0.414772727272727,3.27958753222404,TRUE
1057,"Central Middle School",428,78,42,30,"306 SW 2nd Ave","Milton-Freewater","OR",97862,"306 SW 2nd Ave, Milton-Freewater, OR 97862",-118.3922439,45.933378,0.30126582278481,0.238636363636364,0.219318181818182,2.99835950316382,TRUE
5296,"Freewater Elementary School",284,86,33,32,"53445 W Ferndale Rd","Milton-Freewater","OR",97862,"53445 W Ferndale Rd, Milton-Freewater, OR 97862",-118.4025376,45.9809826,0.686075949367088,0.0943181818181818,0.255681818181818,2.66088586829154,TRUE
1064,"McLoughlin High School",496,72,NA,NA,"120 S Main St","Milton-Freewater","OR",97862,"120 S Main St, Milton-Freewater, OR 97862",-118.3915249,45.9354361,0.137552742616034,NA,NA,3.15772205296461,TRUE
5150,"Insight School of Oregon Painted Hills",463,41,NA,NA,"340 SE High St","Mitchell","OR",97750,"340 SE High St, Mitchell, OR 97750",-120.1470618,44.5646861,0.0219409282700422,NA,NA,3.08038434497305,TRUE
3404,"Mitchell School",51,84,NA,NA,"340 SE High St","Mitchell","OR",97750,"340 SE High St, Mitchell, OR 97750",-120.1470618,44.5646861,0.577215189873418,NA,NA,2.11483477853293,TRUE
93,"Clarkes Elementary School",168,86,66,51,"19100 S Windy City Rd","Mulino","OR",97042,"19100 S Windy City Rd, Mulino, OR 97042",-122.474111,45.214689,0.686075949367088,0.788636363636364,0.713636363636364,2.38903210686665,TRUE
94,"Molalla Elementary School",421,78,39,36,"910 Toliver Rd","Molalla","OR",97038,"910 Toliver Rd, Molalla, OR 97038",-122.59468,45.153543,0.30126582278481,0.176136363636364,0.363636363636364,2.98195453480197,TRUE
142,"Molalla High School",695,66,NA,NA,"357 Francis St","Molalla","OR",97038,"357 Francis St, Molalla, OR 97038",-122.5690641,45.154097,0.0708860759493671,NA,NA,3.62409186782283,TRUE
4745,"Molalla River Academy",210,88,44,48,"16897 S Callahan Rd","Molalla","OR",97038,"16897 S Callahan Rd, Molalla, OR 97038",-122.5213963,45.1209796,0.79915611814346,0.292045454545455,0.648863636363637,2.48746191703773,TRUE
95,"Molalla River Middle School",512,78,56,33,"318 Leroy","Molalla","OR",97038,"318 Leroy, Molalla, OR 97038",-122.590175,45.1518134,0.30126582278481,0.581818181818182,0.279545454545455,3.19521912350598,TRUE
121,"Mulino Elementary School",292,84,55,50,"26660 S Hwy 213","Mulino","OR",97042,"26660 S Hwy 213, Mulino, OR 97042",-122.580954,45.220664,0.577215189873418,0.559090909090909,0.688636363636364,2.67963440356222,TRUE
4818,"Renaissance Public Academy",113,76,NA,NA,"39214 S Sawtell Rd","Molalla","OR",97038,"39214 S Sawtell Rd, Molalla, OR 97038",-122.5283486,45.0377977,0.238818565400844,NA,NA,2.26013592688071,TRUE
128,"Rural Dell Elementary School",239,75,57,32,"10500 S Hwy 211","Molalla","OR",97038,"10500 S Hwy 211, Molalla, OR 97038",-122.651972,45.148283,0.20337552742616,0.596590909090909,0.255681818181818,2.55542535739395,TRUE
1321,"Monroe Grade School",282,72,36,20,"600 Dragon Dr","Monroe","OR",97456,"600 Dragon Dr, Monroe, OR 97456",-123.2994071,44.3123168,0.137552742616034,0.134090909090909,0.0738636363636364,2.65619873447387,TRUE
43,"Monroe High School",126,70,NA,NA,"365 N Fifth St","Monroe","OR",97456,"365 N Fifth St, Monroe, OR 97456",-123.296234,44.317991,0.112236286919831,NA,NA,2.29060229669557,TRUE
3350,"Monument School",47,NA,NA,NA,"127 North St","Monument","OR",97864,"127 North St, Monument, OR 97864",-119.4206912,44.8202568,NA,NA,NA,2.10546051089759,TRUE
813,"A C Houghton Elementary School",281,86,42,28,"1105 N Main Ave","Irrigon","OR",97844,"1105 N Main Ave, Irrigon, OR 97844",-119.4873858,45.8975301,0.686075949367088,0.238636363636364,0.175,2.65385516756503,TRUE
815,"Heppner Elementary School",169,82,50,38,"235 E Standsbury","Heppner","OR",97836,"235 E Standsbury, Heppner, OR 97836",-119.5505222,45.3576354,0.475949367088608,0.4375,0.414772727272727,2.39137567377549,TRUE
818,"Heppner Junior/Senior High School",171,83,NA,NA,"710 NW Morgan St","Heppner","OR",97836,"710 NW Morgan St, Heppner, OR 97836",-119.5648898,45.3606143,0.522362869198312,NA,NA,2.39606280759316,TRUE
